index,name_demand,Latitude,Longitude,demand
84,노원구 중계4동,37.6587195,127.0779568,21.83879093
85,노원구 상계1동,37.6796616,127.0549865,25.4798843
86,노원구 상계2동,37.6587754,127.0684857,27.03472396
87,노원구 상계5동,37.6628859,127.0693465,24.63810438
88,노원구 상계8동,37.6666901,127.0515152,32.648615
89,노원구 상계9동,37.6644966,127.063792,26.09849602
90,노원구 상계10동,37.6612189,127.0601815,29.31191921
91,은평구 녹번동,37.6059975,126.9339654,29.53191948
92,은평구 구산동,37.6117223,126.9103085,25.91687798
93,은평구 대조동,37.6141112,126.9208904,33.77995362
94,은평구 역촌동,37.6044517,126.9169535,27.9538084
95,은평구 증산동,37.5849961,126.907314,26.26450116
96,은평구 수색동,37.5840042,126.8955434,28.35573003
97,은평구 진관동,37.6413466,126.9421897,23.82519558
98,서대문구 천연동,37.5710621,126.9590269,25.97839972
99,서대문구 북아현동,37.5609677,126.9542682,31.18526329
100,서대문구 충현동,37.5628962,126.9623598,33.16764791
101,서대문구 신촌동,37.5594793,126.9435838,63.93395725
102,서대문구 연희동,37.5717975,126.9325254,38.28027341
103,마포구 아현동,37.5541171,126.9569379,30.71350251
104,마포구 공덕동,37.5468697,126.9521717,33.8731909
105,마포구 도화동,37.5376491,126.9501677,30.32112464
106,마포구 용강동,37.5417874,126.9416684,26.874174
107,마포구 대흥동,37.5498977,126.9427769,45.48698047
108,마포구 염리동,37.5496169,126.9476266,33.24878819
109,마포구 신수동,37.5468417,126.934558,30.66614111
110,마포구 서강동,37.5480085,126.9324192,37.86491016
111,마포구 서교동,37.5534897,126.9177304,49.3608799
112,마포구 합정동,37.5463089,126.9101219,40.2869945
113,마포구 연남동,37.5644783,126.9220027,42.71966004
114,마포구 상암동,37.5781711,126.894616,26.10026789
115,양천구 목1동,37.5303155,126.8711197,20.08405004
116,양천구 목2동,37.5460906,126.8717032,33.63388342
117,양천구 목3동,37.5448407,126.8643419,33.00940012
118,양천구 목4동,37.5323423,126.8683419,26.78746905
119,양천구 목5동,37.5350651,126.8785078,19.06430188
120,양천구 신월1동,37.5329255,126.8313455,25.68221405
121,양천구 신월2동,37.5249267,126.8445674,25.75070001
122,양천구 신월3동,37.5335914,126.8290407,25.69221706
123,양천구 신월4동,37.519981,126.8365553,23.99284796
124,양천구 신월5동,37.5396466,126.8273457,27.83063749
125,양천구 신월6동,37.5160668,126.8436787,28.78667724
126,양천구 신월7동,37.5218429,126.8346794,25.5838695
127,양천구 신정1동,37.5184827,126.8542326,20.48974775
128,양천구 신정2동,37.5191779,126.870676,20.76844262
129,양천구 신정3동,37.5150671,126.8548167,24.60464284
130,양천구 신정4동,37.5233712,126.8586771,31.18356622
131,양천구 신정6동,37.5169831,126.8643707,22.75895805
132,양천구 신정7동,37.5143723,126.8596492,21.89114709
133,강서구 염창동,37.5540319,126.8717993,30.66055838
134,강서구 화곡본동,37.5381184,126.8471024,36.2128163
135,강서구 우장산동,37.5480629,126.841817,23.84695895
136,강서구 공항동,37.558949,126.8103748,30.82404064
137,구로구 신도림동,37.5077345,126.8805914,28.73221608
138,구로구 가리봉동,37.4823943,126.888251,28.56049005
139,구로구 수궁동,37.4939023,126.8314305,26.02299628
140,금천구 가산동,37.4758795,126.8838298,51.17778705
141,영등포구 영등포본동,37.5145952,126.9093664,27.71543694
142,영등포구 영등포동,37.5132559,126.9057791,52.17506896
143,영등포구 여의동,37.5175402,126.9345308,25.48913371
144,영등포구 도림동,37.5094016,126.8960068,31.83286233
145,영등포구 문래동,37.5169837,126.8993953,29.10912868
146,동작구 흑석동,37.5094857,126.9605285,31.93114317
147,동작구 대방동,37.5080962,126.9262539,30.20104322
148,관악구 보라매동,37.4880718,126.9326988,36.22979099
149,관악구 청림동,37.4917938,126.9586402,28.10042947
150,관악구 성현동,37.4894329,126.9481693,25.27348171
151,관악구 행운동,37.4805452,126.9571127,46.93767121
152,관악구 낙성대동,37.4762397,126.9583907,54.59502442
153,관악구 청룡동,37.4791001,126.9416142,52.15961293
154,관악구 은천동,37.4869051,126.94142,31.41323792
155,관악구 중앙동,37.4841276,126.9497523,49.72259422
156,관악구 인헌동,37.475074,126.965307,42.1542097
157,관악구 남현동,37.4675553,126.9794198,42.05049565
158,관악구 서원동,37.4797388,126.9313932,49.03349691
159,관악구 신원동,37.4815445,126.9273105,42.1875
160,관악구 서림동,37.4749615,126.934949,44.4882385
161,관악구 신사동,37.4852939,126.9180613,42.20396714
162,관악구 신림동,37.4626176,126.9383251,64.8649798
163,관악구 난향동,37.4616858,126.9188389,22.508479
164,관악구 조원동,37.4810442,126.9090343,40.92932076
165,관악구 대학동,37.470546,126.9368929,48.45152069
166,관악구 삼성동,37.470074,126.9329493,22.6101996
167,관악구 미성동,37.476128,126.9156168,29.40361504
168,관악구 난곡동,37.4693789,126.9202006,28.29840614
169,서초구 서초1동,37.4887673,127.0190234,30.82872928
170,서초구 서초2동,37.492017,127.0247167,32.51730039
171,서초구 서초3동,37.4836008,127.0124412,33.88990826
172,서초구 서초4동,37.5026266,127.0221057,22.22006724
173,서초구 잠원동,37.514847,127.0143281,25.09216847
174,서초구 반포본동,37.5004593,126.9861093,21.12068966
175,서초구 반포1동,37.506043,127.0126625,28.64389293
176,서초구 반포2동,37.5044869,126.9944423,16.62883087
177,서초구 반포3동,37.5119312,127.0055521,21.35860979
178,서초구 반포4동,37.4975719,127.000386,23.97049164
179,서초구 방배본동,37.4941271,126.9887762,23.42462491
180,서초구 방배1동,37.4832955,126.9944149,30.33522191
181,서초구 방배2동,37.4798788,126.9854989,28.40143218
182,서초구 방배3동,37.480185,126.9990806,24.66226997
183,서초구 방배4동,37.4895447,126.9912761,26.44725738
184,서초구 양재1동,37.4844071,127.0361048,26.42287727
185,서초구 양재2동,37.4707419,127.0413547,34.39669647
186,서초구 내곡동,37.4617711,127.05116,24.2748441
187,강남구 신사동,37.524124,127.022883,26.74981385
188,강남구 논현1동,37.5115147,127.0283828,44.63977328
189,강남구 논현2동,37.5172921,127.0371878,36.6056338
190,강남구 압구정동,37.531684,127.0302926,22.63727912
191,강남구 청담동,37.5231998,127.0486655,29.15289818
192,강남구 삼성1동,37.5117931,127.0553802,27.71268857
193,강남구 삼성2동,37.511098,127.0459091,28.55123675
194,강남구 대치1동,37.4932114,127.0567416,15.50913404
195,강남구 대치2동,37.5021274,127.0641296,20.76960625
196,강남구 대치4동,37.4997386,127.0577693,33.40363563
197,강남구 역삼1동,37.4952107,127.0331888,49.5896352
198,강남구 역삼2동,37.4959889,127.0467425,25.60626102
199,강남구 도곡1동,37.4908234,127.0382995,26.91273301
200,강남구 도곡2동,37.4824625,127.0430492,21.05009053
201,강남구 개포1동,37.4817688,127.0576308,20.63878545
202,강남구 개포2동,37.4896011,127.0687685,23.91288952
203,강남구 개포4동,37.4788251,127.0515205,28.77259353
204,강남구 세곡동,37.4692712,127.1073203,26.11251244
205,강남구 일원본동,37.4833521,127.086378,22.12152598
206,강남구 일원1동,37.4917961,127.0879606,28.59683794
207,강남구 일원2동,37.4921008,127.073629,24.17013039
208,강남구 수서동,37.4889628,127.105154,23.49585767
209,송파구 풍납1동,37.5382351,127.1220949,25.42487592
210,송파구 풍납2동,37.5286251,127.1164568,31.03878339
211,송파구 거여1동,37.4970185,127.143372,27.71800225
212,송파구 거여2동,37.493491,127.1468718,26.15802621
213,송파구 마천1동,37.4959357,127.1498994,23.06309165
214,송파구 마천2동,37.4968796,127.1485105,23.81566919
215,송파구 방이1동,37.5109334,127.1238455,29.4598391
216,송파구 방이2동,37.5145158,127.1144024,43.78035668
217,송파구 오륜동,37.5154331,127.1343724,20.67543469
218,송파구 오금동,37.5029895,127.1278734,27.52437054
219,송파구 송파1동,37.5058778,127.1096251,40.35218562
220,송파구 송파2동,37.5022674,127.1166805,27.53254837
221,송파구 석촌동,37.503517,127.1035697,38.29508197
222,송파구 삼전동,37.5027949,127.0925158,38.07036563
223,송파구 가락본동,37.4954903,127.1217072,32.27191549
224,송파구 가락1동,37.4964619,127.1055147,28.84782924
225,송파구 가락2동,37.498712,127.1266796,28.12245665
226,송파구 문정1동,37.490047,127.1241801,32.26832298
227,송파구 문정2동,37.4898248,127.1108474,42.5656378
228,송파구 장지동,37.4773867,127.1285282,28.90977571
229,송파구 위례동,37.4811919,127.1441343,25.83965967
230,송파구 잠실본동,37.5061273,127.0842945,39.44902417
231,송파구 잠실2동,37.5156676,127.0856413,19.21746835
232,송파구 잠실3동,37.5071834,127.0941266,21.84470259
233,송파구 잠실4동,37.5200285,127.1084342,21.46334613
234,송파구 잠실6동,37.5179042,127.1007366,24.00118554
235,송파구 잠실7동,37.5087379,127.0770452,22.35738255
236,강동구 강일동,37.5626796,127.1742333,24.94309042
237,강동구 길동,37.5392074,127.1461206,31.16019449
238,종로구 사직동,37.5761637,126.9688063,28.35929387
239,종로구 삼청동,37.5848379,126.9819133,24.73549799
240,종로구 가회동,37.5800055,126.9846912,25.12042389
241,종로구 이화동,37.5769232,127.0043003,42.09432246
242,종로구 혜화동,37.586755,127.0003554,46.25434622
243,종로구 교남동,37.5718391,126.9619706,27.52266456
244,종로구 평창동,37.6053351,126.9668582,24.74824869
245,종로구 부암동,37.5962608,126.9676991,26.41723356
246,종로구 무악동,37.5773553,126.9586242,21.49181322
247,중구 소공동,37.5623685,126.9770254,32.28162431
248,중구 신당동,37.5615738,127.0194523,39.75427819
249,중구 황학동,37.5674517,127.0214099,40.0341221
250,중구 중림동,37.5547582,126.9644988,28.90987544
251,용산구 후암동,37.5498915,126.9814212,30.72590012
252,용산구 남영동,37.5455655,126.9744151,28.33183971
253,용산구 효창동,37.5417318,126.9613055,33.4708714
254,용산구 용문동,37.5383431,126.9584999,31.31076098
255,용산구 한남동,37.5311789,127.0062454,31.52995674
256,용산구 서빙고동,37.520402,126.9945799,24.24526263
257,용산구 보광동,37.5265039,127.0011919,32.32717317
258,성동구 마장동,37.5662583,127.0453796,33.98911861
259,성동구 사근동,37.5610919,127.0459627,57.10721362
260,성동구 응봉동,37.5505499,127.0341139,24.94787594
261,성동구 옥수동,37.5435935,127.0134664,28.66694685
262,성동구 송정동,37.5527653,127.0608277,31.73945089
263,성동구 용답동,37.5640647,127.0554067,36.25140292
264,광진구 능동,37.5535934,127.0791827,43.268402
265,광진구 광장동,37.5478086,127.1052825,21.72297589
266,광진구 화양동,37.5435547,127.073456,66.27018482
267,광진구 군자동,37.5530066,127.0736292,44.71674242
268,동대문구 제기동,37.5833567,127.0367969,35.08534476
269,동대문구 청량리동,37.588908,127.0445965,22.94442132
270,동대문구 회기동,37.5907275,127.055128,55.06035283
271,성북구 성북동,37.5909485,127.003439,31.71591376
272,성북구 종암동,37.6001709,127.031602,29.30117594
273,성북구 석관동,37.6084827,127.0609186,29.11134096
274,강북구 미아동,37.6268335,127.0269077,30.66033428
275,강북구 우이동,37.6479697,127.0118806,24.74001361
276,은평구 수색동,37.5840042,126.8955434,28.35573003
277,은평구 녹번동,37.6059975,126.9339654,29.53191948
278,은평구 구산동,37.6117223,126.9103085,25.91687798
279,은평구 대조동,37.6141112,126.9208904,33.77995362
280,은평구 역촌동,37.6044517,126.9169535,27.9538084
281,은평구 증산동,37.5849961,126.907314,26.26450116
282,은평구 진관동,37.6413466,126.9421897,23.82519558
283,서대문구 천연동,37.5710621,126.9590269,25.97839972
284,서대문구 북아현동,37.5609677,126.9542682,31.18526329
285,서대문구 신촌동,37.5594793,126.9435838,63.93395725
286,서대문구 연희동,37.5717975,126.9325254,38.28027341
287,마포구 아현동,37.5541171,126.9569379,30.71350251
288,마포구 공덕동,37.5468697,126.9521717,33.8731909
289,마포구 도화동,37.5376491,126.9501677,30.32112464
290,마포구 용강동,37.5417874,126.9416684,26.874174
291,마포구 대흥동,37.5498977,126.9427769,45.48698047
292,마포구 염리동,37.5496169,126.9476266,33.24878819
293,마포구 신수동,37.5468417,126.934558,30.66614111
294,마포구 서교동,37.5534897,126.9177304,49.3608799
295,마포구 합정동,37.5463089,126.9101219,40.2869945
296,마포구 연남동,37.5644783,126.9220027,42.71966004
297,마포구 상암동,37.5781711,126.894616,26.10026789
298,강서구 염창동,37.5540319,126.8717993,30.66055838
299,강서구 공항동,37.558949,126.8103748,30.82404064
300,구로구 신도림동,37.5077345,126.8805914,28.73221608
301,구로구 가리봉동,37.4823943,126.888251,28.56049005
302,구로구 항동,37.481088,126.8250625,30.47521285
303,금천구 가산동,37.4758795,126.8838298,51.17778705
304,영등포구 영등포동,37.5132559,126.9057791,52.17506896
305,영등포구 도림동,37.5094016,126.8960068,31.83286233
306,동작구 상도1동,37.5027719,126.9504938,36.94327341
307,동작구 흑석동,37.5094857,126.9605285,31.93114317
308,동작구 대방동,37.5080962,126.9262539,30.20104322
309,관악구 신림동,37.4626176,126.9383251,64.8649798
310,관악구 남현동,37.4675553,126.9794198,42.05049565
311,서초구 잠원동,37.514847,127.0143281,25.09216847
312,서초구 내곡동,37.4617711,127.05116,24.2748441
313,강남구 청담동,37.5231998,127.0486655,29.15289818
314,강남구 신사동,37.524124,127.022883,26.74981385
315,강남구 압구정동,37.531684,127.0302926,22.63727912
316,강남구 세곡동,37.4692712,127.1073203,26.11251244
317,강남구 수서동,37.4889628,127.105154,23.49585767
318,송파구 석촌동,37.503517,127.1035697,38.29508197
319,송파구 삼전동,37.5027949,127.0925158,38.07036563
320,송파구 장지동,37.4773867,127.1285282,28.90977571
321,송파구 오금동,37.5029895,127.1278734,27.52437054
322,강동구 길동,37.5392074,127.1461206,31.16019449
323,강동구 강일동,37.5626796,127.1742333,24.94309042
